OBJECTID,price,m2,rooms_number,market,building_type,floor_no,building_floor,windows_type,heating,build_year,construction,rent,building_ownership,latitude,longitude,building_material,metro_distance,bust_tram_distance,rail_distance,centre_travel_time,park_distance,uniqueID,district_numerical
1698,635000.0,37.9,2,1,1,2,10,1,5,1971,0,650.0,1,52.292670504,21.0420240527,4,381.85,27.97,2016.18,20,59.0,1703,10
13149,445000.0,29.37,1,1,0,3,4,1,5,2002,0,750.0,0,52.155838,21.0032424,1,1787.15,102.61,1558.76,22,336.0,13199,12
13062,1530000.0,68.19,3,1,1,2,5,2,5,1959,0,1177.0,0,52.22689,21.01768,1,616.38,61.53,1021.8,3,535.0,13112,9
9643,460000.0,35.0,2,1,1,10,12,1,5,1986,1,500.0,3,52.3045474178,20.9920949469,4,2610.9,175.34,1170.9,18,255.0,9673,2
4106,624000.0,52.47,3,0,1,1,4,1,5,0,3,0.0,3,52.3255337,21.0697677,9,3936.67,203.87,4993.27,24,1517.0,4118,2
625,720000.0,56.3,2,1,1,3,3,1,5,2008,0,675.0,0,52.316954,21.0592891,3,2830.38,129.38,4026.7,21,424.0,629,2
2806,1640000.0,93.6,4,1,1,4,5,1,5,2001,0,1300.0,0,52.1312814,21.0658302,1,27.71,53.74,5113.8,27,816.0,2815,12
4878,999000.0,52.7,2,1,1,1,6,1,2,2018,0,618.0,0,52.1697802239,21.0637696087,3,2465.52,194.45,5244.48,22,712.0,4894,15
10008,2025926.0,69.4,3,0,0,7,11,1,3,0,0,0.0,0,52.25152,20.994202,9,668.89,234.4,846.63,8,348.0,10040,9
6876,965000.0,87.0,4,1,1,0,1,1,2,0,0,440.0,0,52.2557617017,21.2275182729,1,11673.91,232.26,258.1,27,666.0,6898,14
11819,2000000.0,135.2,6,1,1,2,10,1,5,2006,0,1100.0,0,52.2314071,21.0720524,1,2548.77,276.59,2422.47,9,726.0,11860,6
5993,1146000.0,69.53,2,1,0,2,6,2,5,2010,0,688.0,0,52.1711749373,20.9966671799,1,2006.58,145.68,867.76,20,212.0,6013,4
12368,1061143.0,67.55,3,0,1,3,11,1,5,2025,1,0.0,0,52.276398871,21.0118016526,9,1960.36,186.1,737.73,15,881.0,12411,7
9241,1540000.0,82.4,2,1,0,8,15,1,5,2003,0,790.0,0,52.2210274,20.9856792,9,991.58,89.22,437.81,6,440.0,9267,5
1576,1490000.0,73.2,3,1,1,7,23,2,5,2007,0,1050.0,0,52.25716,20.99313,9,84.65,45.08,221.16,10,172.0,1581,9
4027,720000.0,55.0,3,1,0,1,3,1,5,2012,0,716.0,0,52.33192,20.97169,9,5338.34,339.68,986.39,24,183.0,4039,2
2456,799000.0,41.0,3,1,1,0,10,1,5,1970,0,690.0,1,52.2611318,20.961683,4,1349.38,194.4,913.14,15,609.0,2464,18
13492,4050000.0,134.79,4,0,0,3,5,1,5,2024,1,0.0,0,52.1940794,21.0072248,1,553.87,145.99,1826.53,12,867.0,13542,4
12536,990948.0,57.51,1,0,1,0,7,1,5,2026,1,0.0,0,52.16995,20.99347,9,2234.16,158.63,616.6,19,187.0,12581,12
4863,920000.0,49.58,2,1,1,6,7,1,5,2017,0,750.0,0,52.2444075688,20.9062744222,9,703.85,257.42,3599.68,23,611.0,4879,1
5688,678000.0,40.0,2,1,1,3,3,1,5,1964,0,0.0,0,52.27212,20.95183,9,760.43,115.96,2261.57,18,210.0,5708,3
7335,3990000.0,147.49,3,1,0,0,4,2,5,2005,0,2600.0,0,52.1948421,20.9886549,6,1656.3,278.29,577.73,14,415.0,7358,4
6746,760000.0,46.2,3,1,1,5,15,1,5,1977,0,1000.0,1,52.20598,21.04988,9,2672.61,95.95,3416.14,15,317.0,6768,4
3571,660000.0,40.4,2,1,1,2,3,1,5,2013,0,680.0,0,52.2178162,21.1440167,9,7557.41,410.68,735.27,20,1225.0,3580,13
2819,629000.0,42.0,2,1,1,1,10,1,5,1977,0,0.0,0,52.1739532244,21.0658385715,6,2684.69,216.55,5433.44,19,954.0,2828,15
12723,2850000.0,123.0,5,1,0,10,10,1,5,1997,0,800.0,0,52.2325,20.9871,9,357.42,235.51,786.44,8,867.0,12768,17
10200,875000.0,60.0,3,1,1,1,4,1,5,0,3,0.0,3,52.24091,20.91133,9,191.41,97.39,3218.06,21,548.0,10233,1
2610,969000.0,47.5,2,1,1,0,3,1,5,2022,0,787.0,0,52.2057978098,21.0661152336,2,3689.05,154.59,4040.56,15,584.0,2618,4
