OBJECTID,price,m2,rooms_number,market,building_type,floor_no,building_floor,windows_type,heating,build_year,construction,rent,building_ownership,latitude,longitude,building_material,metro_distance,bust_tram_distance,rail_distance,centre_travel_time,park_distance,uniqueID,district_numerical,is_duplicate,labels,geometry
9004,1350830.0,75.84,3,0,1,0,16,1,5,2026,1,900.0,0,52.22145,20.95488,9,1384.92,279.19,453.37,14,881.0,9029,17,False,0,POINT (20.95488 52.22145)
10492,720000.0,48.8,2,1,1,8,12,1,5,1972,2,600.0,0,52.2246335,21.08975201,4,3964.46,155.25,3031.31,14,412.0,10528,6,False,1,POINT (21.08975201 52.2246335)
8375,2350000.0,145.58,9,1,0,5,5,1,5,2001,0,0.0,1,52.2374656,20.970008796,9,529.07,114.66,800.9,14,706.0,8399,17,False,0,POINT (20.970008796 52.2374656)
4213,449000.0,24.1,1,1,1,3,10,1,5,1975,0,400.0,0,52.28706,20.9414,9,140.77,171.52,4035.07,22,605.0,4225,3,False,1,POINT (20.9414 52.28706)
692,699000.0,45.83,2,1,1,6,10,1,5,1980,2,700.0,1,52.24863,20.9148,4,1009.33,181.44,3022.24,21,308.0,696,1,False,1,POINT (20.9148 52.24863)
11296,1700000.0,95.76,4,1,1,7,4,1,5,1970,0,0.0,0,52.2049325046,21.0117596098,9,387.3,165.98,2488.98,10,23.0,11336,4,False,0,POINT (21.0117596098 52.2049325046)
9490,673785.0,49.91,2,1,1,2,12,1,5,1977,0,750.0,3,52.2250821,20.9037318,4,1636.3,335.55,2232.57,20,1053.0,9516,1,False,1,POINT (20.9037318 52.2250821)
11233,690000.0,37.5,2,1,1,6,11,1,5,1960,1,750.0,1,52.22498945,20.9924529206,4,814.41,58.02,134.43,7,227.0,11273,5,False,0,POINT (20.9924529206 52.22498945)
9743,1100000.0,57.82,3,1,1,1,4,1,5,2014,0,0.0,0,52.2445882911,20.9666780894,1,843.15,58.1,551.87,14,625.0,9775,17,False,0,POINT (20.9666780894 52.2445882911)
3443,719500.0,36.0,2,1,1,0,6,1,5,0,0,300.0,0,52.2377021285,20.966405971,1,328.58,62.38,555.65,14,621.0,3452,17,False,0,POINT (20.966405971 52.2377021285)
2981,899000.0,62.88,3,1,0,3,6,1,5,2021,0,900.0,0,52.31679105,20.9583500728,6,3436.48,108.69,2664.42,20,1273.0,2990,2,False,1,POINT (20.9583500728 52.31679105)
